30340,297627788,Figueroa,,Ross,OOZTYKe5MBQUE,txhelns78@aventuremail.com,University Avenue,North Port,72225,2,1972-06-27,2,121,28,26,70,83,10,80,60,59,20
541964,663396368,Gonzales,,Allyson,9PhQ4Fxo9je4lc,keyqbljl344@aol.com,Bainbridge Street,Goodyear,19236,2,1969-11-14,2,537,75,16,100,30,87,100,86,53,62
752396,393551107,Werner,,Kristy,WOFEfXYCdRQxM23,pefhahma8@gurlmail.com,Summit Street,Birmingham,92235,2,1987-05-21,2,231,77,50,27,50,67,47,79,14,47
1565228,514800345,Bird,,Ana,SgniA7DqvfYZrW,bhwtr7@mymail.com,Monticello Avenue,Brownsville,87696,1,1961-01-28,2,334,28,56,95,63,40,26,37,37,28
1809029,865550926,Sweeney,,Erik,uRcul8oS7Nf9,btqy7@computermail.com,Marshall Street,Kansas City,99029,1,1971-02-01,1,163,99,97,73,82,49,88,92,25,59
2070131,537655499,Joseph,,Elena,KWj39ZJfBQg9x8kh,ttsfml605@computermail.com,Hillcrest Road,Philadelphia,48327,2,1988-03-26,1,861,55,22,31,34,37,84,98,56,73
2154847,132822531,Bean,,Eleanor,8Gxc1U99jo23P,rjkwik949@mailandnews.com,Birdwood Road,Aurora,24702,2,1986-10-06,1,805,14,17,36,90,74,82,74,69,0
2300010,959095628,Barber,,Nanette,r0EBoUGn829ZG,rwatf46@postmaster.com,Moseley Drive,Salt Lake City,85623,2,1977-11-08,2,168,53,79,50,74,18,67,82,31,31
2779216,441432660,Espinoza,,Howard,txX6nBTAoZgRR,yaleqp9@lycos.com,Jackson Street,Wichita Falls,55214,1,1980-09-09,2,853,11,43,83,60,56,96,66,47,25
2801329,506074097,Craig,,Fannie,B1gM3l51WjsA,uopdztl9218@doramail.com,Cherry Avenue,Chicago,59021,2,1960-09-20,2,394,47,96,26,78,84,29,22,75,46
3205536,263395134,Merritt,,Calvin,CG0Ku6UFQdKQ4FC,lkrwbwp@netaddress.com,Sloat Boulevard,Victorville,70374,1,1966-08-19,2,610,99,64,37,5,43,38,35,74,64
4821886,942479783,Valentine,,Leona,exJtBmn5V9B5sa1,xoqgddo@xasamail.com,Wine Street,Henderson,97255,1,1994-05-09,2,795,47,27,42,38,86,85,92,37,29
4985555,131700663,Zhang,,Mari,2lcshRMnUvtuCesa,gdoppam99@mail.com,Hayes Street,Indianapolis,48101,1,1965-02-26,1,992,61,72,69,44,66,73,100,69,94
5189839,652866164,Leonard,,Glenda,wAwk5URPLspan2i5,ualc85@vodafone.com,Montgomery Street,Wichita Falls,89832,2,1963-06-14,1,938,54,46,62,80,81,37,32,42,35
6365448,797193990,Hart,,Maricela,Gs6YP75gpry4zkRq,ybnqst74@emailaccount.com,Glendale Road,Durham,77006,2,1989-01-30,2,437,23,4,76,47,60,66,53,60,96
6677537,522863582,Conner,,Corey,dF9iyJGW1dxhtsA,flegfjb560@vodafone.com,Jones Street,Indianapolis,52672,2,1982-05-12,2,789,30,81,71,66,48,51,6,20,85
6914916,501863590,Donaldson,,Ron,nApyJEzF8SNlh9is,qhjtsw2092@10minutemail.com,Stonefield Lane,Orlando,35262,2,1972-12-02,1,114,7,32,69,41,89,65,5,78,66
7290081,713378960,Bridges,,Georgette,TjgxWp304liL,zgljaz577@juno.com,Park Road,Tampa,55191,1,1988-01-25,2,636,15,63,62,49,71,1,51,64,4
7653381,716296960,Sanders,,Jasmine,9txjD0F5u2GkWbZ,tuetpmcw875@aol.com,Long Street,North Las Vegas,46916,1,1961-07-04,2,704,86,23,6,67,61,75,58,8,65
8126915,995270622,Wyatt,,Leanne,StKANwWn2lNrR4,hprlsu03@dodgeit.com,Goodman Street,Tallahassee,21332,1,1957-05-07,1,852,47,78,31,17,71,90,72,65,15
8150662,747870522,Bass,,Sandra,KFUQSXFvNJ7Ga7,mzfm53@postmaster.com,Meriwether Street,Montgomery,66078,2,1968-04-22,2,873,22,76,40,75,20,98,76,5,50
8380240,139303358,Franco,,Seth,2a1376rZ4LYAb,joro@walla.com,Sycamore Street,Henderson,54449,1,1967-03-16,2,342,87,15,43,4,39,49,66,48,71
8942246,485758191,Dunlap,,Inez,OSmEkKcv82S0,tcel3@mailanywhere.com,Jones Street,El Paso,67658,1,1962-05-15,2,668,6,85,96,39,0,66,53,80,37
10284079,255009576,Owen,,Marissa,3j97zuAnXiFZUJ,nvxhmkxi8916@personal.com,Monticello Avenue,Tucson,93600,1,1970-11-25,2,111,3,17,25,93,15,18,12,3,29
10646220,193468355,Key,,Laurel,bDDbxdMZ37UxP2g3,jojbwwem757@earthlink.net,Essex Road,Omaha,43377,2,1973-07-05,1,371,70,61,9,74,3,97,27,4,17
10738153,250307727,Nguyen,,Katy,BESpSXfElb8eX7,gbmdlayb289@gmail.com,Valencia Street,Preston,94277,1,1976-10-25,2,284,51,87,36,100,40,77,88,22,26
